"","GEOID","donations","total","NAME","variable","estimate","moe","donations_percapita"
"150","20777",2707,111532.36,"ZCTA5 20777","B01003_001",3444,447,786.004645760743
"151","20778",1436,39547.17,"ZCTA5 20778","B01003_001",2460,680,583.739837398374
"152","20779",687,29339.6,"ZCTA5 20779","B01003_001",956,279,718.619246861925
"153","20781",5853,231033.89,"ZCTA5 20781","B01003_001",11460,964,510.732984293194
"154","20782",12863,595571.079999998,"ZCTA5 20782","B01003_001",32527,1828,395.456082639038
"155","20783",5720,339753.5,"ZCTA5 20783","B01003_001",45550,2710,125.576289791438
"156","20784",5749,90245.5100000001,"ZCTA5 20784","B01003_001",30381,1552,189.230110924591
"157","20785",11413,374647.24,"ZCTA5 20785","B01003_001",39237,1792,290.873410301501
"158","20786",52,2143.3,NA,NA,NA,NA,NA
"159","20787",24,339,NA,NA,NA,NA,NA
"160","20788",2,20,NA,NA,NA,NA,NA
"161","20790",2,1760,NA,NA,NA,NA,NA
"162","20791",70,2046.19,NA,NA,NA,NA,NA
"163","20792",210,9272.24,NA,NA,NA,NA,NA
"164","20794",2890,65081.25,"ZCTA5 20794","B01003_001",16956,1301,170.441141778721
"165","20795",77,1970,NA,NA,NA,NA,NA
"166","20796",3,102,NA,NA,NA,NA,NA
"167","20797",2,28,NA,NA,NA,NA,NA
"168","20798",7,89,NA,NA,NA,NA,NA
"169","20801",6,1104,NA,NA,NA,NA,NA
"170","20802",47,1088.26,NA,NA,NA,NA,NA
"171","20803",14,140,NA,NA,NA,NA,NA
"172","20804",15,607,NA,NA,NA,NA,NA
"173","20805",125,6799.7,NA,NA,NA,NA,NA
"174","20806",24,436,NA,NA,NA,NA,NA
"175","20807",7,121,NA,NA,NA,NA,NA
"176","20810",19,2173,NA,NA,NA,NA,NA
"177","20812",416,82029.63,"ZCTA5 20812","B01003_001",323,97,1287.92569659443
"178","20813",8,280,NA,NA,NA,NA,NA
"179","20814",54366,3840965.98000005,"ZCTA5 20814","B01003_001",29632,1515,1834.70572354212
"180","20815",77637,9090681.01999998,"ZCTA5 20815","B01003_001",30908,1587,2511.8739484923
"181","20816",35071,3206491.79,"ZCTA5 20816","B01003_001",16661,1357,2104.97569173519
"182","20817",65357,5935171.61,"ZCTA5 20817","B01003_001",38131,1659,1714.01222102751
"183","20818",3976,339569.63,"ZCTA5 20818","B01003_001",2072,451,1918.91891891892
"184","20820",1,20,NA,NA,NA,NA,NA
"185","20822",1,5,NA,NA,NA,NA,NA
"186","20823",2,50,NA,NA,NA,NA,NA
"187","20824",474,28802.58,NA,NA,NA,NA,NA
"188","20825",553,11115.52,NA,NA,NA,NA,NA
"189","20826",27,1062,NA,NA,NA,NA,NA
"190","20827",182,12166.57,NA,NA,NA,NA,NA
"191","20828",2,12,NA,NA,NA,NA,NA
"192","20830",139,1310,NA,NA,NA,NA,NA
"193","20832",15646,505974.41,"ZCTA5 20832","B01003_001",25427,1426,615.330160852637
"194","20833",4572,170021.89,"ZCTA5 20833","B01003_001",7746,1233,590.240123934934
"195","20834",29,915,NA,NA,NA,NA,NA
"196","20835",41,413,NA,NA,NA,NA,NA
"197","20836",32,871.25,NA,NA,NA,NA,NA
"198","20837",4684,155442.25,"ZCTA5 20837","B01003_001",6129,266,764.235601240007
"199","20838",448,18843.38,"ZCTA5 20838","B01003_001",377,209,1188.32891246684
"200","20839",462,11704.82,"ZCTA5 20839","B01003_001",139,139,3323.74100719424
"201","20840",21,105,NA,NA,NA,NA,NA
"202","20841",4010,161266.31,"ZCTA5 20841","B01003_001",11692,1315,342.969551830311
"203","20842",978,55610.65,"ZCTA5 20842","B01003_001",1467,233,666.666666666667
"204","20844",47,1252.5,NA,NA,NA,NA,NA
"205","20845",2,100,NA,NA,NA,NA,NA
"206","20847",11,529,NA,NA,NA,NA,NA
"207","20848",42,757.49,NA,NA,NA,NA,NA
"208","20849",375,4026.31,NA,NA,NA,NA,NA
"209","20850",45289,1625183.48000002,"ZCTA5 20850","B01003_001",53522,1433,846.175404506558
"210","20851",5030,158464.17,"ZCTA5 20851","B01003_001",14519,1274,346.442592465046
"211","20852",48307,1984718.03,"ZCTA5 20852","B01003_001",47338,2156,1020.46981283535
"212","20853",19911,556389.159999997,"ZCTA5 20853","B01003_001",31510,2199,631.894636623294
"213","20854",55150,4750407.08000001,"ZCTA5 20854","B01003_001",49196,1953,1121.0260996829
"214","20855",10620,442482.67,"ZCTA5 20855","B01003_001",15955,1470,665.622062049514
"215","20856",15,782,NA,NA,NA,NA,NA
"216","20858",7,92,NA,NA,NA,NA,NA
"217","20859",329,43985.94,NA,NA,NA,NA,NA
"218","20860",4148,138927.7,"ZCTA5 20860","B01003_001",2890,771,1435.29411764706
"219","20861",2729,124085.49,"ZCTA5 20861","B01003_001",2015,592,1354.34243176179
"220","20862",260,16786.32,"ZCTA5 20862","B01003_001",359,160,724.233983286908
"221","20864",52,1064,NA,NA,NA,NA,NA
"222","20865",38,1886,NA,NA,NA,NA,NA
"223","20866",6180,175550.99,"ZCTA5 20866","B01003_001",16974,2024,364.086249558148
"224","20867",14,1045,NA,NA,NA,NA,NA
"225","20868",451,11939.11,"ZCTA5 20868","B01003_001",539,206,836.734693877551
"226","20869",7,305,NA,NA,NA,NA,NA
"227","20870",9,450,NA,NA,NA,NA,NA
"228","20871",8598,204083.870000001,"ZCTA5 20871","B01003_001",18961,1564,453.457096144718
"229","20872",7302,125311.22,"ZCTA5 20872","B01003_001",12790,1214,570.914777169664
"230","20873",6,225,NA,NA,NA,NA,NA
"231","20874",22381,527915.719999997,"ZCTA5 20874","B01003_001",60258,2359,371.419562547712
"232","20875",256,7279.07,NA,NA,NA,NA,NA
"233","20876",9660,214333.43,"ZCTA5 20876","B01003_001",31703,2150,304.70302495032
"234","20877",15286,371444.01,"ZCTA5 20877","B01003_001",37948,1745,402.814377569305
"235","20878",41096,1313016.67999999,"ZCTA5 20878","B01003_001",63576,2164,646.407449351957
"236","20879",10054,219295.580000003,"ZCTA5 20879","B01003_001",26343,1585,381.657366283263
"237","20880",1356,52557.24,"ZCTA5 20880","B01003_001",530,148,2558.49056603774
"238","20882",8651,261341.96,"ZCTA5 20882","B01003_001",14441,1104,599.058236964199
"239","20883",100,50776.7,NA,NA,NA,NA,NA
"240","20884",42,388,NA,NA,NA,NA,NA
"241","20885",98,2054.08,NA,NA,NA,NA,NA
"242","20886",16207,362243.209999999,"ZCTA5 20886","B01003_001",34887,2194,464.556998308826
"243","20887",32,455,NA,NA,NA,NA,NA
"244","20889",2,28,NA,NA,NA,NA,NA
"245","20892",5,500,NA,NA,NA,NA,NA
"246","20893",39,539,NA,NA,NA,NA,NA
"247","20894",13,230,NA,NA,NA,NA,NA
"248","20895",26497,1347975.36000001,"ZCTA5 20895","B01003_001",18930,1034,1399.73586899102
"249","20896",1962,161566.26,"ZCTA5 20896","B01003_001",792,130,2477.27272727273
"250","20897",9,58,NA,NA,NA,NA,NA
"251","20898",42,481.23,NA,NA,NA,NA,NA
"252","20899",30,3050,"ZCTA5 20899","B01003_001",284,130,105.633802816901
"253","20901",42989,1309525.87000001,"ZCTA5 20901","B01003_001",36802,1827,1168.1158632683
"254","20902",29875,1073108,"ZCTA5 20902","B01003_001",52752,2497,566.32923870185
"255","20903",6587,250580.1,"ZCTA5 20903","B01003_001",26951,1813,244.406515528181
"256","20904",41324,1477418.67000001,"ZCTA5 20904","B01003_001",55856,2452,739.830993984532
"257","20905",12733,509001.050000004,"ZCTA5 20905","B01003_001",18590,1534,684.938138784293
"258","20906",54095,1138991.14000001,"ZCTA5 20906","B01003_001",70441,2794,767.94764412771
"259","20907",244,4264.09,NA,NA,NA,NA,NA
"260","20908",26,583,NA,NA,NA,NA,NA
"261","20910",60712,2979373.47000001,"ZCTA5 20910","B01003_001",43729,1969,1388.36927439457
"262","20911",104,1824.23,NA,NA,NA,NA,NA
"263","20912",38778,1936275.09,"ZCTA5 20912","B01003_001",25118,1333,1543.83310773151
"264","20913",335,55972.77,NA,NA,NA,NA,NA
"265","20914",309,7685.58,NA,NA,NA,NA,NA
"266","20915",29,3230,NA,NA,NA,NA,NA
"267","20916",797,5998.53,NA,NA,NA,NA,NA
"268","20917",23,1278.11,NA,NA,NA,NA,NA
"269","20918",9,326,NA,NA,NA,NA,NA
"270","20919",5,22,NA,NA,NA,NA,NA
"271","20920",37,1202.4,NA,NA,NA,NA,NA
"272","20922",1,250,NA,NA,NA,NA,NA
"273","20923",16,527.75,NA,NA,NA,NA,NA
"274","20925",3,150,NA,NA,NA,NA,NA
"275","20932",10,172,NA,NA,NA,NA,NA
"276","20939",24,152,NA,NA,NA,NA,NA
"277","20941",1,25,NA,NA,NA,NA,NA
"278","20950",294,5786.44,NA,NA,NA,NA,NA
"279","20952",11,148,NA,NA,NA,NA,NA
"280","20953",258,5330.93,NA,NA,NA,NA,NA
"281","20954",129,1389.8,NA,NA,NA,NA,NA
"282","20960",3,215,NA,NA,NA,NA,NA
"283","20966",1,10,NA,NA,NA,NA,NA
"284","20971",8,101.17,NA,NA,NA,NA,NA
"285","20972",1,69.96,NA,NA,NA,NA,NA
"286","20974",19,2103,NA,NA,NA,NA,NA
"287","20976",1,10,NA,NA,NA,NA,NA
"288","20977",1,100,NA,NA,NA,NA,NA
"289","20978",18,547.82,NA,NA,NA,NA,NA
"290","20979",3,17,NA,NA,NA,NA,NA
"291","20984",1,10,NA,NA,NA,NA,NA
"292","20985",2,105,NA,NA,NA,NA,NA
"293","20986",16,98,NA,NA,NA,NA,NA
"294","20991",128,1591.3,NA,NA,NA,NA,NA
"295","20992",33,642,NA,NA,NA,NA,NA
"296","20993",1,100,NA,NA,NA,NA,NA
"297","20994",21,895,NA,NA,NA,NA,NA
"298","20995",10,287.2,NA,NA,NA,NA,NA
"299","20996",31,991.72,NA,NA,NA,NA,NA
"300","20997",4,30,NA,NA,NA,NA,NA
"301","21001",9185,126335.18,"ZCTA5 21001","B01003_001",24959,891,368.003525782283
"302","21002",4,79,NA,NA,NA,NA,NA
"303","21005",1513,7449.8,"ZCTA5 21005","B01003_001",2724,553,555.433186490455
"304","21006",2,50,NA,NA,NA,NA,NA
"305","21008",6,185,NA,NA,NA,NA,NA
"306","21009",5538,94785.23,"ZCTA5 21009","B01003_001",31683,1841,174.79405359341
"307","21010",1196,18019.26,"ZCTA5 21010","B01003_001",329,259,3635.25835866261
"308","21012",11344,448162.8,"ZCTA5 21012","B01003_001",22746,1598,498.72505055834
"309","21013",1809,42460.46,"ZCTA5 21013","B01003_001",5157,685,350.785340314136
"310","21014",9571,216782.57,"ZCTA5 21014","B01003_001",35668,1407,268.335763149041
"311","21015",7969,198034.81,"ZCTA5 21015","B01003_001",28975,1810,275.030198446937
"312","21016",18,163.72,NA,NA,NA,NA,NA
"313","21017",1139,18434.4,"ZCTA5 21017","B01003_001",6034,713,188.763672522373
"314","21018",1,25,NA,NA,NA,NA,NA
"315","21019",4,675,NA,NA,NA,NA,NA
"316","21020",38,527,NA,NA,NA,NA,NA
"317","21021",2,105,NA,NA,NA,NA,NA
"318","21022",147,3757.27,NA,NA,NA,NA,NA
"319","21023",188,7414.9,NA,NA,NA,NA,NA
"320","21024",4,140,NA,NA,NA,NA,NA
"321","21025",4,255,NA,NA,NA,NA,NA
"322","21027",8,300,NA,NA,NA,NA,NA
"323","21028",777,21243.45,"ZCTA5 21028","B01003_001",2609,324,297.81525488693
"324","21029",5070,334097.21,"ZCTA5 21029","B01003_001",11523,1241,439.989586045301
"325","21030",9939,375350.119999999,"ZCTA5 21030","B01003_001",24152,1767,411.518714806227
"326","21031",10,589.24,"ZCTA5 21031","B01003_001",26,43,384.615384615385
"327","21032",5033,231805.08,"ZCTA5 21032","B01003_001",7787,892,646.33363297804
"328","21033",43,1582,NA,NA,NA,NA,NA
"329","21034",608,23530.29,"ZCTA5 21034","B01003_001",3178,430,191.315292636879
"330","21035",6200,200449.85,"ZCTA5 21035","B01003_001",8315,783,745.640408899579
"331","21036",1189,69995.87,"ZCTA5 21036","B01003_001",2243,384,530.093624609897
"332","21037",9471,376584.149999999,"ZCTA5 21037","B01003_001",21134,1407,448.140437210183
"333","21039",9,822,NA,NA,NA,NA,NA
"334","21040",2305,33320.56,"ZCTA5 21040","B01003_001",24717,1846,93.2556540033175
"335","21041",132,2730.91,NA,NA,NA,NA,NA
"336","21042",28455,1050627.6,"ZCTA5 21042","B01003_001",42157,1972,674.976872168323
"337","21043",20844,686790.249999998,"ZCTA5 21043","B01003_001",46747,1981,445.889575801656
"338","21044",44569,1337506.62,"ZCTA5 21044","B01003_001",45741,2090,974.37747316412
"339","21045",30660,803755.230000001,"ZCTA5 21045","B01003_001",40265,1779,761.455358251583
"340","21046",11234,309389.199999999,"ZCTA5 21046","B01003_001",15597,1212,720.266717958582
"341","21047",2633,69101.57,"ZCTA5 21047","B01003_001",12629,1414,208.488399714942
"342","21048",2073,66157.88,"ZCTA5 21048","B01003_001",9719,893,213.293548719004
"343","21049",1,3,NA,NA,NA,NA,NA
"344","21050",3563,70752.1100000001,"ZCTA5 21050","B01003_001",17846,1210,199.652583211924
"345","21051",461,25766.14,"ZCTA5 21051","B01003_001",231,105,1995.670995671
"346","21052",16,551,"ZCTA5 21052","B01003_001",179,86,89.3854748603352
"347","21053",776,14091.34,"ZCTA5 21053","B01003_001",3134,513,247.606892150606
"348","21054",5833,159548.24,"ZCTA5 21054","B01003_001",11697,1538,498.67487389929
"349","21055",1,500,NA,NA,NA,NA,NA
"350","21056",98,38413,"ZCTA5 21056","B01003_001",333,262,294.294294294294
"351","21057",2464,65720.03,"ZCTA5 21057","B01003_001",4109,682,599.659284497445
"352","21059",10,56,NA,NA,NA,NA,NA
"353","21060",14209,173872.14,"ZCTA5 21060","B01003_001",36049,1961,394.157951676884
"354","21061",10219,168692.45,"ZCTA5 21061","B01003_001",55020,2670,185.732460923301
"355","21062",126,856.5,NA,NA,NA,NA,NA
"356","21064",32,688,NA,NA,NA,NA,NA
"357","21065",1,100,NA,NA,NA,NA,NA
"358","21067",1,100,NA,NA,NA,NA,NA
"359","21069",15,126,NA,NA,NA,NA,NA
"360","21071",287,8471.13,"ZCTA5 21071","B01003_001",454,271,632.15859030837
"361","21073",2,20,NA,NA,NA,NA,NA
"362","21074",2983,55540.7,"ZCTA5 21074","B01003_001",14933,972,199.75892319025
"363","21075",8984,224807.71,"ZCTA5 21075","B01003_001",34939,1990,257.133861873551
"364","21076",6352,235382.9,"ZCTA5 21076","B01003_001",17947,1664,353.931019111829
"365","21077",85,1464.38,"ZCTA5 21077","B01003_001",235,143,361.702127659575
"366","21078",7808,212588.470000001,"ZCTA5 21078","B01003_001",18957,745,411.879516801182
"367","21079",3,175,NA,NA,NA,NA,NA
"368","21080",2,20,NA,NA,NA,NA,NA
"369","21082",459,13343.93,"ZCTA5 21082","B01003_001",608,197,754.934210526316
"370","21083",10,275,NA,NA,NA,NA,NA
"371","21084",1638,29954.66,"ZCTA5 21084","B01003_001",7670,797,213.559322033898
"372","21085",2745,55980.66,"ZCTA5 21085","B01003_001",16318,1097,168.219144503003
"373","21086",3,87,NA,NA,NA,NA,NA
"374","21087",656,20466.26,"ZCTA5 21087","B01003_001",5437,505,120.654772852676
"375","2109",2,105,NA,NA,NA,NA,NA
"376","21090",1933,50232.64,"ZCTA5 21090","B01003_001",9715,1036,198.97066392177
"377","21092",4,74.96,NA,NA,NA,NA,NA
"378","21093",22218,633944.189999997,"ZCTA5 21093","B01003_001",38245,1687,580.938684795398
"379","21094",40,17794.12,NA,NA,NA,NA,NA
"380","21096",2,100,NA,NA,NA,NA,NA
"381","21099",3,50,NA,NA,NA,NA,NA
"382","21101",72,1499.56,NA,NA,NA,NA,NA
"383","21102",3317,51923.1600000001,"ZCTA5 21102","B01003_001",12043,939,275.429710205098
"384","21103",2,11,NA,NA,NA,NA,NA
"385","21104",4210,99374.2000000001,"ZCTA5 21104","B01003_001",6029,774,698.291590645215
"386","21105",28,267,"ZCTA5 21105","B01003_001",0,13,Inf
"387","21106",26,1213.24,NA,NA,NA,NA,NA
"388","21107",2,35,NA,NA,NA,NA,NA
"389","21108",6603,220072.78,"ZCTA5 21108","B01003_001",19136,1262,345.05643812709
"390","21109",1,40.48,NA,NA,NA,NA,NA
"391","21111",3969,93046.8800000003,"ZCTA5 21111","B01003_001",5343,693,742.841100505334
"392","21112",1,25,NA,NA,NA,NA,NA
"393","21113",16279,444059.96,"ZCTA5 21113","B01003_001",35210,2691,462.340244248793
"394","21114",8848,236144.47,"ZCTA5 21114","B01003_001",26460,1506,334.391534391534
"395","21115",5,108,NA,NA,NA,NA,NA
"396","21116",21,1380.24,NA,NA,NA,NA,NA
"397","21117",23052,657696.399999998,"ZCTA5 21117","B01003_001",59663,2433,386.370112129796
"398","21118",6,123,NA,NA,NA,NA,NA
"399","21120",2596,77234.66,"ZCTA5 21120","B01003_001",6775,680,383.173431734317
"400","21121",2,53,NA,NA,NA,NA,NA
"401","21122",9609,221055.749999999,"ZCTA5 21122","B01003_001",59664,2771,161.051890587289
"402","21123",59,1086.37,NA,NA,NA,NA,NA
"403","21124",3,240,NA,NA,NA,NA,NA
"404","21127",7,283,NA,NA,NA,NA,NA
"405","21128",1908,49255.93,"ZCTA5 21128","B01003_001",13967,1031,136.607718192883
"406","21130",7,225,"ZCTA5 21130","B01003_001",104,106,67.3076923076923
"407","21131",2873,130327.89,"ZCTA5 21131","B01003_001",7587,794,378.674047713194
"408","21132",185,6295.84,"ZCTA5 21132","B01003_001",3162,626,58.5072738772929
"409","21133",8682,146954.52,"ZCTA5 21133","B01003_001",32714,1926,265.390964113224
"410","21134",21,552,NA,NA,NA,NA,NA
"411","21135",1,100,NA,NA,NA,NA,NA
"412","21136",11483,323548.850000002,"ZCTA5 21136","B01003_001",34347,1557,334.32323055871
"413","21137",2,20,NA,NA,NA,NA,NA
"414","21139",580,10016.79,NA,NA,NA,NA,NA
"415","21140",1294,55152.63,"ZCTA5 21140","B01003_001",3862,452,335.059554634904
"416","21143",3,210,NA,NA,NA,NA,NA
"417","21144",11718,222529.85,"ZCTA5 21144","B01003_001",35680,2267,328.419282511211
"418","21145",1,50,NA,NA,NA,NA,NA
"419","21146",13148,487095.939999999,"ZCTA5 21146","B01003_001",27634,1534,475.790692625027
"420","21147",16,344.63,NA,NA,NA,NA,NA
"421","21149",1,7.71,NA,NA,NA,NA,NA
"422","21150",45,748,NA,NA,NA,NA,NA
"423","21152",1796,80268.0000000001,"ZCTA5 21152","B01003_001",5349,926,335.763694148439
"424","21153",1329,41921.91,"ZCTA5 21153","B01003_001",348,163,3818.96551724138
"425","21154",568,14000.14,"ZCTA5 21154","B01003_001",6467,874,87.8305241997835
"426","21155",578,15340.34,"ZCTA5 21155","B01003_001",2363,452,244.604316546763
"427","21156",40,1305,"ZCTA5 21156","B01003_001",371,156,107.816711590297
"428","21157",8691,202460.44,"ZCTA5 21157","B01003_001",38714,1415,224.492431678463
"429","21158",4343,99560.21,"ZCTA5 21158","B01003_001",20773,945,209.069465171136
"430","21160",285,5854.12,"ZCTA5 21160","B01003_001",2615,791,108.986615678776
"431","21161",1036,26816.3,"ZCTA5 21161","B01003_001",5738,842,180.550714534681
"432","21162",705,11934.46,"ZCTA5 21162","B01003_001",4089,466,172.413793103448
"433","21163",4816,171400.08,"ZCTA5 21163","B01003_001",6602,797,729.475916388973
"434","21164",1,100,NA,NA,NA,NA,NA
"435","21171",8,80,NA,NA,NA,NA,NA
"436","21173",1,1000,NA,NA,NA,NA,NA
"437","21174",33,228,NA,NA,NA,NA,NA
"438","21176",2,55,NA,NA,NA,NA,NA
"439","21200",22,110,NA,NA,NA,NA,NA
"440","21201",6643,366729.620000001,"ZCTA5 21201","B01003_001",17534,1206,378.863921523896
"441","21202",6148,382084.850000001,"ZCTA5 21202","B01003_001",21880,1571,280.987202925046
"442","21203",167,7428.41,NA,NA,NA,NA,NA
"443","21204",12273,511605.5,"ZCTA5 21204","B01003_001",21518,1258,570.359698856771
"444","21205",1021,23248.11,"ZCTA5 21205","B01003_001",15900,1344,64.2138364779874
"445","21206",6518,111044.22,"ZCTA5 21206","B01003_001",51670,2198,126.146700212889
"446","21207",13152,198563.1,"ZCTA5 21207","B01003_001",50440,2781,260.745440126883
"447","21208",21511,700900.869999999,"ZCTA5 21208","B01003_001",35273,2207,609.843222861679
"448","21209",26774,644100.539999995,"ZCTA5 21209","B01003_001",28621,2270,935.466964816044
"449","21210",25454,1443604.77000004,"ZCTA5 21210","B01003_001",16076,1123,1583.35406817616
"450","21211",13357,433904.27,"ZCTA5 21211","B01003_001",15735,803,848.871941531617
"451","21212",25556,1146181.1,"ZCTA5 21212","B01003_001",33865,1962,754.643437177026
"452","21213",3715,75637.8300000001,"ZCTA5 21213","B01003_001",30596,2339,121.42110079749
"453","21214",7525,156481.400000001,"ZCTA5 21214","B01003_001",21666,1457,347.318379027047
